[03-Oct-2013 05:06:05 Asia/Shanghai] PHP Notice:  Undefined property: DB::$next_result in /Applications/MAMP/htdocs/sms/includes/class-DB.php on line 136
[03-Oct-2013 05:06:06 Asia/Shanghai] PHP Notice:  Undefined property: DB::$next_result in /Applications/MAMP/htdocs/sms/includes/class-DB.php on line 136
[03-Oct-2013 05:06:19 Asia/Shanghai] PHP Notice:  Undefined property: DB::$next_result in /Applications/MAMP/htdocs/sms/includes/class-DB.php on line 136
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  mysqli_connect(): (HY000/2002): Can't connect to local MySQL server through socket '/Applications/MAMP/tmp/mysql/mysql.sock' (2) in /Applications/MAMP/htdocs/sms/includes/class-DB.php on line 203
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  mysqli_set_charset() expects parameter 1 to be mysqli, boolean given in /Applications/MAMP/htdocs/sms/includes/class-DB.php on line 216
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 3
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 4
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 5
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 6
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 7
[03-Oct-2013 05:42:06 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/sms/includes/class-DB.php:203) in /Applications/MAMP/htdocs/sms/ajax/s.php on line 8
[05-Oct-2013 02:58:39 Asia/Shanghai] PHP Warning:  mysqli_connect(): (HY000/2003): Can't connect to MySQL server on '127.8.146.2' (60) in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 203
[05-Oct-2013 02:58:39 Asia/Shanghai] PHP Warning:  mysqli_set_charset() expects parameter 1 to be mysqli, boolean given in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 216
[05-Oct-2013 02:58:39 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php:203) in /Applications/MAMP/htdocs/smsrhc/sms/php/index.php on line 8
[05-Oct-2013 10:17:09 Asia/Shanghai] PHP Warning:  mysqli_connect(): (HY000/2003): Can't connect to MySQL server on '127.8.146.2' (60) in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 203
[05-Oct-2013 10:17:09 Asia/Shanghai] PHP Warning:  mysqli_set_charset() expects parameter 1 to be mysqli, boolean given in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 216
[05-Oct-2013 10:17:09 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php:203) in /Applications/MAMP/htdocs/smsrhc/sms/php/index.php on line 8
[05-Oct-2013 10:17:16 Asia/Shanghai] PHP Warning:  mysqli_connect(): (HY000/2003): Can't connect to MySQL server on '127.8.146.2' (60) in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 203
[05-Oct-2013 10:17:16 Asia/Shanghai] PHP Warning:  mysqli_set_charset() expects parameter 1 to be mysqli, boolean given in /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php on line 216
[05-Oct-2013 10:17:16 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smsrhc/sms/php/includes/class-DB.php:203) in /Applications/MAMP/htdocs/smsrhc/sms/php/index.php on line 8
